"repository_path","check","status","detail"
"01_simulation/02_generation/paired_test/4_补充_模拟数据_10V3C.R","R_parse_only","pass",""
"01_simulation/02_generation/paired_test/4_补充_模拟数据_4V.R","R_parse_only","pass",""
"01_simulation/03_preprocessing/4_转换单一时间点数据.R","R_parse_only","pass",""
"90_history/simulation/cb217ff475_5_Jointmodel_TRY.R","R_parse_only","pass",""
"01_simulation/04_models/rsflc/5_RSF_LC模型_V10C3.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_ALL.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_COX_10V1C.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_COX_10V3C.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_COX_4V.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_JM_1c.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_RSFLC_10V1c.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_RSFLC_4V.R","R_parse_only","pass",""
"01_simulation/05_evaluation/6_结果处理_RSF_1c.R","R_parse_only","pass",""
"90_history/simulation/57eae9ab1b_4_TEST_模拟数据.r","R_parse_only","pass",""
"90_history/simulation/075176e029_5_JMBayes_TEST.r","R_parse_only","pass",""
"90_history/simulation/ba05e8d068_5_JM_TEST.R","R_parse_only","pass",""
"90_history/simulation/41cf71f3d7_5_RSF_TEST.R","R_parse_only","pass",""
"90_history/simulation/b0ab5ae3e5_5_TEST_模拟JM200.R","R_parse_only","pass",""
"90_history/simulation/15f4b8b4c1_5_TEST_模拟RSF200.R","R_parse_only","pass",""
"90_history/simulation/c0db261cf2_查找协变量被剔除的示例.R","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_COX模型_10VC1_remake.r","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_JM_10V1C_测试集.R","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_JM_10V3C_测试集.R","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_RSF_10V1C_测试集.R","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_RSF_10V3C_测试集.R","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_RSF_LC_V10C1_测试集.R","R_parse_only","pass",""
"01_simulation/04_models/paired_test/5_RSF_LC_V10C3_测试集.R","R_parse_only","pass",""
"90_history/simulation/90b02ba668_debug_ranef_mjoint.R","R_parse_only","pass",""
"90_history/clinical/c756b8822a_0417实例数据引入.R","R_parse_only","pass",""
"90_history/clinical/1d0ce62170_0424实例数据纵向处理.R","R_parse_only","pass",""
"90_history/clinical/6908624d99_0428实例数据分析.R","R_parse_only","pass",""
"90_history/clinical/8dc5adcc93_0506处理.R","R_parse_only","pass",""
"90_history/clinical/a162021efd_0506实例分析.R","R_parse_only","pass",""
"90_history/clinical/e1233bcfa5_5折交叉验证COX.R","R_parse_only","pass",""
"90_history/clinical/1801bff5f8_5折交叉验证JM.R","R_parse_only","pass",""
"90_history/clinical/6b3e8ad680_5折交叉验证RSF.R","R_parse_only","pass",""
"90_history/clinical/ff6bae137a_5折交叉验证RSF_LC.R","R_parse_only","pass",""
"90_history/clinical/e4d3d42148_cal_3_test.R","R_parse_only","pass",""
"02_clinical/02_preprocessing/source_0521/prep_sofa_inputs.R","R_parse_only","pass",""
"90_history/clinical/1a13803ad7_RSFLC_gcs.R","R_parse_only","pass",""
"90_history/clinical/97c6aef8f0_RSFLC_sofa.R","R_parse_only","pass",""
"90_history/clinical/e1fc292a18_RSFLC_sofa_fold.R","R_parse_only","pass",""
"90_history/clinical/34809a1de5_RSFLC_sofa_fold_分段运行.R","R_parse_only","source_syntax_issue","F:\文章_大论文\_codex_rebuild_work\repository_final/90_history/clinical/34809a1de5_RSFLC_sofa_fold_分段运行.R:1:1: unexpected invalid token
1: ﻿
    ^"
"90_history/clinical/50d2e36a96_RSF_fold_分段运行.R","R_parse_only","source_syntax_issue","F:\文章_大论文\_codex_rebuild_work\repository_final/90_history/clinical/50d2e36a96_RSF_fold_分段运行.R:1:1: unexpected invalid token
1: ﻿
    ^"
"02_clinical/02_preprocessing/source_0521/变量筛选.R","R_parse_only","pass",""
"90_history/clinical/27f57182fb_建模COX.R","R_parse_only","pass",""
"90_history/clinical/5c6f9305e6_建模RSFLC.R","R_parse_only","source_syntax_issue","F:\文章_大论文\_codex_rebuild_work\repository_final/90_history/clinical/5c6f9305e6_建模RSFLC.R:1:1: unexpected invalid token
1: ﻿
    ^"
"02_clinical/02_preprocessing/source_0521/数据分折.R","R_parse_only","pass",""
"02_clinical/02_preprocessing/source_0521/数据处理_1.R","R_parse_only","pass",""
"02_clinical/02_preprocessing/source_0521/数据处理_2.R","R_parse_only","pass",""
"02_clinical/02_preprocessing/source_0521/纵向P1P99清洗.R","R_parse_only","pass",""
"90_history/clinical/aa0c6aee92_结果处理.R","R_parse_only","pass",""
"90_history/clinical/feae89a3ec_JMBayes-20260723.R","R_parse_only","pass",""
"90_history/clinical/c4d6f67638_t1.R","R_parse_only","source_syntax_issue","F:\文章_大论文\_codex_rebuild_work\repository_final/90_history/clinical/c4d6f67638_t1.R:1:1: unexpected invalid token
1: ﻿
    ^"
"90_history/clinical/ec666847b5_t2.R","R_parse_only","pass",""
"90_history/clinical/6e38f85e26_RSFLC_fit_model.R","R_parse_only","pass",""
"90_history/clinical/3d60b1df0c_RSFLC_predict_bridge.R","R_parse_only","pass",""
"02_clinical/05_explanation/rsflc_shap/RSFLC_stroke_fit.R","R_parse_only","pass",""
"02_clinical/05_explanation/rsflc_shap/RSFLC_stroke_predict.R","R_parse_only","pass",""
"90_history/clinical/00e3638ff6_RSFLC_baseline_0826.R","R_parse_only","pass",""
"90_history/clinical/2f3183e2a3_RSF_baseline_0826.R","R_parse_only","pass",""
"90_history/clinical/fd0a363613_RSF_tune_fold5.R","R_parse_only","pass",""
"90_history/clinical/98c0b5f68d_RSF最优模型输出结果.R","R_parse_only","pass",""
"90_history/clinical/44f65bc7be_RSFLC_20V_tune_fold5.R","R_parse_only","source_syntax_issue","F:\文章_大论文\_codex_rebuild_work\repository_final/90_history/clinical/44f65bc7be_RSFLC_20V_tune_fold5.R:1:1: unexpected invalid token
1: ﻿
    ^"
"90_history/clinical/50948ae612_RSFLC最优模型输出结果.R","R_parse_only","pass",""
"02_clinical/02_preprocessing/source_0824/knn_impute_longitudinal_0824.R","R_parse_only","pass",""
"90_history/clinical/9effca22a9_RSF_5fold.R","R_parse_only","pass",""
"90_history/clinical/a373a8cf4c_RSF_tune_grid_0824.R","R_parse_only","pass",""
"90_history/clinical/f0a7351ae4_新COX.R","R_parse_only","pass",""
"90_history/clinical/dbc90b3a17_新RSF.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/cox/0826_COX_结果输出.R","R_parse_only","pass",""
"90_history/clinical/e160aea228_0826_RSFLC结果输出.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/support/0826_RSFLC超参数筛选.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/rsf/0826_RSF_结果输出.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/support/0826_RSF_超参数筛选.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/support/0827_JM_base.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/rsflc/0827_RSFLC结果输出.R","R_parse_only","pass",""
"02_clinical/03_models/individual_0826/jm/0831_JM结果输出.R","R_parse_only","pass",""
"90_history/clinical/6604b612e3_RSFLC_20V.R","R_parse_only","pass",""
"90_history/clinical/40586f99ed_0827_JM.R","R_parse_only","pass",""
"01_simulation/04_models/jm/jmbayes2_0722/5_jointmodel_10V1C.R","R_parse_only","pass",""
"01_simulation/04_models/jm/jmbayes2_0722/5_jointmodel_10V3C.R","R_parse_only","pass",""
"01_simulation/04_models/jm/jmbayes2_0722/5_jointmodel_4V.R","R_parse_only","pass",""
"90_history/simulation/d2bc494652__debug_70_results.R","R_parse_only","pass",""
"90_history/simulation/c1dec075a4__debug_70_tv.R","R_parse_only","pass",""
"90_history/simulation/6a1ee5e17c__grid_t0_Dt_4V.R","R_parse_only","pass",""
"90_history/simulation/6fa7d56580__search_lme_form_4V.R","R_parse_only","pass",""
"90_history/simulation/e57659195f__search_var_subset_4V.R","R_parse_only","pass",""
"90_history/simulation/01d5b8154c__verify_70_fix.R","R_parse_only","pass",""
"90_history/simulation/7e19ced83b__verify_teacher_window.R","R_parse_only","pass",""
"90_history/simulation/36ede6b3ca__verify_tttt_4V.R","R_parse_only","pass",""
"90_history/clinical/1d30f5f43b_新COX.R","R_parse_only","pass",""
"90_history/clinical/6ae2508323_新JM.R","R_parse_only","pass",""
"90_history/clinical/b35b92b92a_新RSF.R","R_parse_only","pass",""
"90_history/clinical/07236792a5_新RSF_LC.R","R_parse_only","pass",""
"90_history/clinical/1020a19ba7_JMbayes2.R","R_parse_only","pass",""
"90_history/clinical/7b5f3373c2_JM尝试.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/00_config.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/01_stage_inputs.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/02_prepare_data.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/03_descriptive_tables_and_flow.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/04_static_models.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/05_static_explain.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/06_rsflc_model.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/07a_rsf_fivefold_cv_optional.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/07b_rsflc_fivefold_cv_optional.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/08_joint_model.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/09_combine_results.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/10_build_docx.R","R_parse_only","pass",""
"02_clinical/03_models/unified_pipeline/99_run_all.R","R_parse_only","pass",""
"90_history/clinical/338b35d72b_0830_RSF_表5-3A_五折交叉验证调参.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_static_contract/COX_5_4A_corrected.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_static_contract/RSF_5_4A_corrected.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_static_contract/run_COX_5_4A.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_static_contract/unified_metric_contract.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_dynamic_contract/common_dynamic_metric_contract.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_dynamic_contract/JM_5_4B_corrected.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_dynamic_contract/RSFLC_5_4B_corrected.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_dynamic_contract/rsflc_safe_predict.R","R_parse_only","pass",""
"02_clinical/04_evaluation/alternative_dynamic_contract/run_all_5_4B.R","R_parse_only","pass",""
"90_history/clinical/ccc0c2da03_00_config.R","R_parse_only","pass",""
"90_history/clinical/05ee60eb78_01_prepare_data.R","R_parse_only","pass",""
"90_history/clinical/a5fde25b7d_02b_static_explain.R","R_parse_only","pass",""
"90_history/clinical/d3a9aa1d19_02_static_models.R","R_parse_only","pass",""
"90_history/clinical/89259909f3_03b_rsflc_vimp.R","R_parse_only","pass",""
"90_history/clinical/9bf5e66764_03_rsflc_survival.R","R_parse_only","pass",""
"90_history/clinical/3248800a3c_04_jm_unified.R","R_parse_only","pass",""
"90_history/clinical/ed5aec1df5_05_combine_results.R","R_parse_only","pass",""
"90_history/clinical/739d74427d_99_run_all.R","R_parse_only","pass",""
"90_history/clinical/9f343b43a0_00_export_existing_missing.R","R_parse_only","pass",""
"90_history/clinical/565fdedf49_01_static_fixed_5fold.R","R_parse_only","pass",""
"90_history/clinical/201cdadc6d_02_dynamic_fixed_5fold_worker.R","R_parse_only","pass",""
"90_history/clinical/f84c44c646_03_combine_dynamic_fixed_5fold.R","R_parse_only","pass",""
"90_history/clinical/bcbb7809e2_utf8_launcher.R","R_parse_only","pass",""
"90_history/clinical/12c9c84d2a_0428实例数据分析.R","R_parse_only","pass",""
"90_history/clinical/b46929204f_数据提取代码.R","R_parse_only","pass",""
"90_history/clinical/72b17c6348_merge_sheets.R","R_parse_only","pass",""
"90_history/clinical/32468797c6_0310.R","R_parse_only","pass",""
"90_history/clinical/4ecaef8372_0311.R","R_parse_only","pass",""
"90_history/clinical/5f4d63b69c_0311建模.R","R_parse_only","pass",""
"90_history/clinical/1850ffe85b_0311_cursor.R","R_parse_only","pass",""
"90_history/clinical/4aea8c1ab9_0311建模.R","R_parse_only","pass",""
"90_history/clinical/8a6fb9cabe_0312.R","R_parse_only","pass",""
"90_history/clinical/7052e4aedc_0312_itemid_to_name.R","R_parse_only","pass",""
"90_history/clinical/9d2ad172f5_0312_新数据.R","R_parse_only","pass",""
"90_history/clinical/b01a2be6e0_dynforest_demo.R","R_parse_only","pass",""
"90_history/clinical/b2540d0c66_dynforest_example.R","R_parse_only","pass",""
"90_history/clinical/e71fc208d9_dynforest_simple_model.R","R_parse_only","pass",""
"90_history/clinical/9706e9bf6c_prep_data_and_model.R","R_parse_only","pass",""
"90_history/clinical/2fc733f3dd_0313.R","R_parse_only","pass",""
"90_history/clinical/f323dc1dd5_dynforest_script.R","R_parse_only","pass",""
"90_history/clinical/43d4348b4b_0313.R","R_parse_only","pass",""
"90_history/clinical/46e99ab789_0313_cursor.R","R_parse_only","pass",""
"90_history/clinical/ca11367e78_0313数据处理.R","R_parse_only","pass",""
"90_history/clinical/c7b1aa82f6_check_subjectid_overlap.R","R_parse_only","pass",""
"90_history/clinical/7f9680be2e_0314_JM建模.R","R_parse_only","pass",""
"90_history/clinical/27b2cee2fd_0314_RSFLC建模.R","R_parse_only","pass",""
"90_history/clinical/02276bb5ac_0314_RSF建模.R","R_parse_only","pass",""
"90_history/clinical/f40732d835_0314_summary_wide_data.R","R_parse_only","pass",""
"90_history/clinical/02ff55366e_0314模型构建.R","R_parse_only","pass",""
"90_history/clinical/aa5dd7f18c_RSF模型_核心代码_提取.R","R_parse_only","pass",""
"90_history/clinical/4954444708_生存时间描述统计.R","R_parse_only","pass",""
"90_history/clinical/59606b0dc7_0314_COX建模.R","R_parse_only","pass",""
"90_history/clinical/1b24bf16e5_0314_JM建模.R","R_parse_only","pass",""
"90_history/clinical/03acfcdacb_0314_RSFLC建模.R","R_parse_only","pass",""
"90_history/clinical/bd6d26082c_0314_RSF建模.R","R_parse_only","pass",""
"90_history/clinical/0b459caec8_0314_summary_wide_data.R","R_parse_only","pass",""
"90_history/clinical/fca16ed12e_run_4models_global.R","R_parse_only","pass",""
"90_history/clinical/ec11179ed9_run_4models_global_strict.R","R_parse_only","pass",""
"90_history/clinical/434f777d4b_生存时间描述统计.R","R_parse_only","pass",""
"90_history/clinical/adfca31465_4模型尝试.R","R_parse_only","pass",""
"90_history/clinical/57ded822f1_modeling_RSFLC_10V.R","R_parse_only","pass",""
"90_history/clinical/b379a3bf8b_modeling_RSFLC_4V.r","R_parse_only","pass",""
"90_history/clinical/de5eaf603c_modeling_RSFLC_t0.R","R_parse_only","pass",""
"90_history/clinical/f08b49afe4_modeling_RSF_4V_t0.R","R_parse_only","pass",""
"90_history/clinical/130a0e9f27_0319_cox建模_1.r","R_parse_only","pass",""
"90_history/clinical/fb7275d070_0319_JM建模_1.r","R_parse_only","pass",""
"90_history/clinical/add681d364_0319_RSFLC建模_1.r","R_parse_only","pass",""
"90_history/clinical/8603d5a48d_0319_RSF建模_1.r","R_parse_only","pass",""
"90_history/clinical/a658f125a4_0323_COX.R","R_parse_only","pass",""
"90_history/clinical/ebaf5df602_0323_JM.R","R_parse_only","pass",""
"90_history/clinical/ff3bdec13e_0323_RSF.R","R_parse_only","pass",""
"90_history/clinical/b8f1f7aae8_0323_RSFLC.R","R_parse_only","pass",""
"90_history/clinical/183e7107f5_0325可视化结果.R","R_parse_only","pass",""
"90_history/clinical/6a5c7bfc2c_5折代码.R","R_parse_only","pass",""
"90_history/clinical/8145d84f9a_0325可视化结果.R","R_parse_only","pass",""
"90_history/clinical/5e759d8d3c_0331_bootstrap_RSF_vs_RSF_LC.R","R_parse_only","pass",""
"90_history/clinical/c29b3f9edd_0331_friedman_模型区分度.R","R_parse_only","pass",""
"90_history/clinical/273201c01e_bootstrap_models.R","R_parse_only","pass",""
"90_history/clinical/1bd02ec671_SHAP.R","R_parse_only","pass",""
"90_history/clinical/5dc915a381__rsflc_jm_append.R","R_parse_only","pass",""
"90_history/clinical/2df3eee386_0404_DATA_嵌套分折实现.R","R_parse_only","pass",""
"90_history/clinical/befa3d73c4_0404_RSF.R","R_parse_only","pass",""
"90_history/clinical/3035c479d7_0404测试RSF.R","R_parse_only","pass",""
"90_history/clinical/e54ef99757_0407RSFLC.R","R_parse_only","pass",""
"90_history/clinical/cf8f3f6a5d_DATA分折.R","R_parse_only","pass",""
"90_history/clinical/7ac324d134_DATA.R","R_parse_only","pass",""
"01_simulation/04_models/jm/5_Jointmodel_C3.R","R_parse_only","pass",""
"01_simulation/04_models/rsf/RSF_10V3C.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/0316数据整合.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/分类整合汇总.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/构建三维图.R","R_parse_only","pass",""
"01_simulation/06_figures/0317作图/分层比较作图.R","R_parse_only","pass",""
"01_simulation/06_figures/0317作图/总结变量作图.R","R_parse_only","pass",""
"01_simulation/06_figures/0317作图/按情景柱状图.R","R_parse_only","pass",""
"90_history/simulation/14504ab7d9_测试.R","R_parse_only","pass",""
"90_history/simulation/fcb5f40df9_测试1.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/作图_主程序.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/作图_数据预处理.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/数据整理.R","R_parse_only","pass",""
"01_simulation/06_figures/代码/柱状图_总.R","R_parse_only","pass",""
"90_history/manual_metric_adjustment/ff8fce61ed_结果整理0509_出图.R","R_parse_only","pass",""
